Participant,hab_trials,hab1,hab2,hab3,hab4,hab5,hab6,hab7,hab8,fam1,fam2,fam_avg,nov1,nov2,nov_avg,diff_test,nov_score,
M01EB,4,7183,5405,3833,0,,,,,1979,1389,1684,14500,4935,9717.5,8033.5,0.879907761,
M02SM,3,10607,4706,2646,,,,,,4875,1200,3037.5,11793,12400,12096.5,9059,0.707523398,
M03CW,6,4612,9343,2567,10342,1100,5139,,,2138,1782,1960,4089,2324,3206.5,1246.5,0.656656496,
M04LM,7,8909,10994,10894,8074,11713,4564,5425,,11279,7129,9204,6474,7901,7187.5,-2016.5,0.36467076,
M05ES,5,3291,6479,8044,4753,2506,,,,3786,2550,3168,3507,1199,2353,-815,0.480872069,
M06HL,3,12948,1920,5432,,,,,,1598,2186,1892,9112,5363,7237.5,5345.5,0.850793651,
M08SA,8,13763,4691,12439,3818,8054,7031,3478,3101,9159,6569,7864,4125,10177,7151,-713,0.310523939,
M11BLP,6,7760,5483,4148,5361,3106,1378,,,4468,2063,3265.5,5251,1465,3358,92.5,0.540281922,
M12RO,3,5796,1133,1116,,,,,,1574,1937,1755.5,3120,0,1560,-195.5,0.664678313,
M13CY,4,7893,4717,1618,2166,,,,,3378,7149,5263.5,7051,3564,5307.5,44,0.676095503,
M15OW,3,11761,1440,1422,,,,,,1707,9909,5808,3742,1783,2762.5,-3045.5,0.68673151,
M16SL,8,4020,2653,3911,4005,4382,2712,1566,1904,1902,1326,1614,6168,2350,4259,2645,0.764312268,
M20NS,4,0,9795,2771,2233,,,,,1088,1584,1336,3062,2531,2796.5,1460.5,0.737831325,
M21SB,5,7064,2916,14175,6764,0,,,,3645,0,1822.5,0,0,0,-1822.5,0,
M22AS,5,12202,11744,5928,8826,1287,,,,9700,8968,9334,13024,2976,8000,-1334,0.573138532,
M23AK,4,2915,10312,3002,2122,,,,,1594,4585,3089.5,13982,2562,8272,5182.5,0.897663071,
M24JB,6,2657,1324,1031,3275,0,1813,,,3538,8777,6157.5,12218,3764,7991,1833.5,0.775450622,
M25AJ,4,13497,12432,9269,3461,,,,,3325,1144,2234.5,8197,2083,5140,2905.5,0.711421628,
M26JJ,5,14529,12115,9859,4492,6708,,,,3431,3577,3504,13486,7736,10611,7107,0.797186262,
M27ZD,4,8874,3628,4767,1337,,,,,3243,2274,2758.5,12986,2539,7762.5,5004,0.800172531,
M28PR,4,5161,7790,1735,2858,,,,,0,2645,1322.5,1430,4800,3115,1792.5,1,
M30PM,4,1213,4446,1662,0,,,,,2327,0,1163.5,1539,0,769.5,-394,0.398085877,
M35KR,3,8592,1021,2240,,,,,,2202,4959,3580.5,0,1357,678.5,-2902,0,
M40CW,5,7711,5581,4320,2880,1354,,,,2252,1098,1675,2627,5174,3900.5,2225.5,0,
M41GG,4,8034,8511,3019,3762,,,,,2060,3217,2638.5,5959,2454,4206.5,1568,0.743110113,
M42RM,7,14399,4700,5804,8497,3243,6733,1720,,5069,6262,5665.5,4258,4702,4480,-1185.5,0.45652407,
M43EW,6,13901,14360,9927,14074,6677,3494,,,14079,3850,8964.5,9896,5463,7679.5,-1285,0.412763295,
M44GW,5,13939,8988,10090,4199,4057,,,,12996,1426,7211,10781,6717,8749,1538,0.453421374,
M45DA,7,5015,2923,4000,1799,4494,0,2730,,2235,2682,2458.5,4022,2404,3213,754.5,0.642800064,
M47JJ,4,2835,1374,1686,0,,,,,0,0,0,0,6839,3419.5,3419.5,0,
M48DZ,4,2764,6138,3959,0,,,,,5722,5378,5550,10221,3378,6799.5,1249.5,0.641096406,
M46CC,4,7539,6000,1086,2359,,,,,0,2160,1080,3935,1160,2547.5,1467.5,1,
M01EB_V2,4,7701,12753,2356,1208,,,,,1271,3110,2190.5,10480,3278,6879,4688.5,0.891838992,
M02SM_V2,4,13887,8429,5579,4434,,,,,10729,3407,7068,13172,3401,8286.5,1218.5,0.551106648,
M04LM_V2,5,2937,1500,9959,1662,1448,,,,1347,2458,1902.5,11361,2814,7087.5,5185,0.894003777,
M08SA_V2,4,10448,12469,5791,1303,,,,,5142,9514,7328,10040,1260,5650,-1678,0.661309445,
M12RO_V2,4,5103,5144,4387,0,,,,,5451,0,2725.5,2000,5875,3937.5,1212,0.268420346,
M13CY_V2,4,8405,9704,4947,0,,,,,2280,0,1140,2489,1543,2016,876,0.521912351,
M15OW_V2,4,2340,9494,2011,1447,,,,,0,2493,1246.5,12474,6498,9486,8239.5,1,
M17EW_V2,3,7266,2975,1684,,,,,,1660,4174,2917,3944,4780,4362,1445,0.703783012,
M20NS_V2,3,12435,5699,2394,,,,,,10245,1510,5877.5,14229,7532,10880.5,5003,0.581392498,
M24JB_V2,5,3088,0,2615,1694,0,,,,2329,2336,2332.5,2329,4466,3397.5,1065,0.5,
M21SB_V2,4,5265,5276,2159,0,,,,,1523,2391,1957,11900,1377,6638.5,4681.5,0.886538032,
M28PR_V2,4,13154,11657,2801,3603,,,,,4657,0,2328.5,5372,2120,3746,1417.5,0.535646625,
M22AS_V2,4,4475,6415,0,1281,,,,,2832,8049,5440.5,6222,3680,4951,-489.5,0.687210073,
M23AK_V2,3,12911,7970,1350,,,,,,5158,3224,4191,7562,2275,4918.5,727.5,0.594496855,
M27ZD_V2,4,4605,6598,1500,0,,,,,0,3572,1786,6136,4978,5557,3771,1,
M37JD_V2,6,6595,7000,3354,6914,1356,1229,,,3182,3628,3405,9532,7249,8390.5,4985.5,0.749724713,
B01AM,7,6417,3459,6256,10703,10027,7705,2098,,4846,12016,8431,11284,5788,8536,105,0.699566026,
B02JP,3,9455,3255,2212,,,,,,1204,5286,3245,8432,8953,8692.5,5447.5,0.875051889,
B03BS,8,4693,7725,10101,4570,7918,10995,4630,4007,6275,3840,5057.5,4876,0,2438,-2619.5,0.4372702,
B04DR,4,2994,5269,1572,1579,,,,,7567,2577,5072,3893,4628,4260.5,-811.5,0.339703316,
B05ET,7,2627,5224,2654,4146,2927,2113,1757,,6422,3395,4908.5,14143,5588,9865.5,4957,0.687721858,
B06JR,3,11136,4218,3035,,,,,,13388,4668,9028,9370,5636,7503,-1525,0.41172335,
B08RJ,4,4100,4763,1685,1876,,,,,0,1531,765.5,7416,2946,5181,4415.5,1,
B09AW,6,7086,6369,3283,3597,3671,0,,,6090,2494,4292,4462,10544,7503,3211,0.422858226,
B10KG,4,9533,2917,4613,1380,,,,,1263,2119,1691,5295,14311,9803,8112,0.807410796,
B15NC,5,12209,12988,6780,7276,3081,,,,7086,5780,6433,11711,5794,8752.5,2319.5,0.623024951,
B16LR,4,10047,5890,2674,1055,,,,,4627,10717,7672,9810,5889,7849.5,177.5,0.679504052,
B17YT,4,10818,7063,1954,1019,,,,,5801,6928,6364.5,2892,7024,4958,-1406.5,0.332681468,
B18LS,4,8537,13612,7274,2001,,,,,3378,2247,2812.5,10047,5605,7826,5013.5,0.748379888,
B19CB,3,3071,2659,0,,,,,,1099,0,549.5,8445,2294,5369.5,4820,0.88484912,
B20AP,5,11306,2368,5191,2014,1574,,,,4797,2614,3705.5,14318,13160,13739,10033.5,0.749045252,
B21HM,4,11216,4419,4280,2652,,,,,1506,5893,3699.5,3807,4920,4363.5,664,0.716544325,
B22JR,3,2555,0,1130,,,,,,2331,1615,1973,0,1486,743,-1230,0,
B24EBR,4,5703,3172,1652,2607,,,,,2642,1372,2007,11927,6498,9212.5,7205.5,0.818656051,
B23RF,8,0,2785,1152,2800,6254,1367,3874,0,4417,0,2208.5,9904,4805,7354.5,5146,0.691571818,
B27KDS,3,2537,1543,0,,,,,,0,3190,1595,4863,3381,4122,2527,1,
B28APF,4,1871,5331,0,1187,,,,,3454,0,1727,11222,7084,9153,7426,0.764649768,
B30MR,7,10415,4041,5439,7888,13787,4102,1839,,1920,3244,2582,8755,3929,6342,3760,0.820140515,
B29NRP,7,10181,4097,14552,2656,14140,4960,4136,,4956,6366,5661,5359,9172,7265.5,1604.5,0.519534658,
B31ZR,7,8238,8022,6833,13810,8651,6230,3276,,8768,2759,5763.5,14305,9044,11674.5,5911,0.619988731,
B34ES,5,9745,3924,6096,4807,1420,,,,2996,3340,3168,11415,3825,7620,4452,0.792103254,
B26GB,6,4486,4498,4709,2690,2951,0,,,3877,2279,3078,2023,1118,1570.5,-1507.5,0.342881356,
B32NF,5,1277,2219,2282,0,0,,,,1042,1702,1372,3357,1425,2391,1019,0.763127984,
B33KLH,6,6404,6861,2228,6187,1627,3300,,,1970,2356,2163,6429,6857,6643,4480,0.765448268,
B05ET_V2,6,12675,4888,11590,3170,5764,1464,,,4676,1799,3237.5,9904,3948,6926,3688.5,0.679286694,
B11ARF_V2,6,4608,2782,2556,8283,1372,1514,,,1205,1315,1260,2581,3198,2889.5,1629.5,0.681722134,
B12KRM_V2,5,5781,3652,6178,2327,2090,,,,5978,2972,4475,13755,7130,10442.5,5967.5,0.697055694,